IMDB,MOVIE TITLE,Release Date,Cast,Duration,Production,Genre,Country
6.2,Lies We Tell,2023-10-13,"['John Olohan', 'Kieran Roche', 'Eleanor Methven', 'Mark Doherty', 'David Wilmot']","89
                min",Blue Ink Films,,
3.7,How to Survive Your Love,2023-11-09,"['Jiří Ployhar ml.', 'Barbora Mottlová', 'Tomáš Měcháček', 'Alžbeta Stanková', 'Jana Bernášková']","91
                min",Orbis Pictures,,
6.1,Huesera: The Bone Woman,2023-02-10,"['Aida López', 'Gabriela Velaverde', 'Anahí Allue', 'Natalia Solián', 'Gina Morett']","97
                min",Disruptiva Films,,
5.7,Her Body,2023-11-16,"['Zuzana Mauréry', 'Martin Finger', 'Cyril Dobrý', 'Tarra White', 'Zuzana Stivínová']","105
                min",Cineart TV Prague,,
6.2,Brandy Hellville & the Cult of Fast Fashion,2024-03-11,"['Alyssa Hardy', 'Kate Taylor', 'Liz Ricketts']","91
                min",Lightbox Entertainment,,
6,A Bit of Light,2022-10-29,"['Anna Paquin', 'Ray Winstone', 'Youssef Kerkour', 'Tim Cullingworth-Hudson', 'Pippa Bennett-Warner']","98
                min",Infinity Hill,,
4.6,Festival of the Living Dead,2024-04-05,"['Keana Bastidas', 'Andre Anthony', 'Gage Marsh', 'Camren Bicondova', 'Sylvia Soska']","88
                min",Enlighten Content,,
N/A,Born Loser,2024-02-20,"['Zach Schute', 'Meg MacDuff', 'Mike Atcherson', 'Nathan Rosenstock']","65
                min",Not Defined,,
3.4,Jurassic Triangle,2024-02-13,"['Amelie Leroy', 'Chrissie Wunna', 'Darrell Griggs', 'Connor Powles', 'Dorothea Jones']","84
                min",Proportion Productions,,
7.6,Civil War,2024-04-10,"['Sonoya Mizuno', 'Nick Offerman', 'Justin James Boykin', 'Stephen Henderson', 'Evan Lai']","109
                min",DNA Films,,
7,Wicked Little Letters,2024-02-23,"['Alisha Weir', 'Grant Crookes', 'Lolly Adefope', 'Tim McMullan', 'Gemma Jones']","100
                min",Blueprint Pictures,,
7.2,Rumah Masa Depan,2023-12-07,"['Widyawati', 'Bima Azriel', 'Laura Basuki', 'Ciara Nadine Brosnan', 'Maisha Kanna']","109
                min",Mizan Productions,,
7.4,"Mussum, o Filmis",2023-11-02,"['Yuri Marçal', 'Serjão Loroza', 'Augusto Madeira', 'Cacau Protásio', 'Ailton Graça']","122
                min",Camisa Listrada,,
6.5,Becky and Badette,2023-12-25,"['Eugene Domingo', ""Peewee O'Hara"", 'Romnick Sarmenta', 'Agot Isidro', 'Samantha Ashley Lo']","116
                min",The IdeaFirst Company,,
6.3,Fighter,2024-01-24,"['Karan Singh Grover', 'Sanjeeda Sheikh', 'Sharib Hashmi', 'Behzaad Khan', 'Samvedna Suwalka']","167
                min",Marflix Pictures,,
6.8,Blind Date Book Club,2024-04-06,"['Robert Buckley', 'Erin Krakow']","84
                min",Not Defined,,
7.4,You Are Not Alone: Fighting the Wolf Pack,2024-02-23,"['Carolina Yuste', 'Natalia de Molina']","103
                min",Lucernam Films,,
